region_id,centerX,centerY,cluster,maxX,minX,maxY,minY
UPMC_c003_v001_r001_reg006,2265,847,5,2370,2167,968,771
UPMC_c007_v001_r001_reg024,2094,462,13,2192,1999,532,378
UPMC_c007_v001_r001_reg024,2310,1145,14,2388,2255,1210,1049
UPMC_c003_v001_r001_reg013,2486,1301,13,2572,2361,1376,1218
UPMC_c001_v001_r001_reg016,1812,992,12,1928,1703,1093,798
UPMC_c007_v001_r001_reg011,231,293,3,312,147,371,238
UPMC_c007_v001_r001_reg013,652,130,13,724,537,210,34
UPMC_c004_v001_r001_reg043,2262,1073,1,2341,2177,1150,973
UPMC_c001_v001_r001_reg001,2170,573,5,2365,2046,740,418
UPMC_c007_v001_r001_reg031,743,1806,3,835,647,1910,1718
UPMC_c007_v001_r001_reg002,980,1346,13,1069,885,1416,1276
UPMC_c002_v001_r001_reg024,1730,1127,6,1823,1618,1232,1014
UPMC_c005_v001_r001_reg017,1499,566,0,1641,1319,750,446
UPMC_c002_v001_r001_reg013,1596,106,10,1665,1519,187,24
UPMC_c006_v001_r001_reg031,2421,545,3,2472,2354,626,478
UPMC_c004_v001_r001_reg025,1860,760,5,1957,1760,882,675
UPMC_c003_v001_r001_reg006,17,924,12,168,5,1100,735
UPMC_c001_v001_r001_reg035,765,1393,14,915,673,1511,1306
UPMC_c005_v001_r001_reg022,1846,406,0,1977,1780,508,325
UPMC_c007_v001_r001_reg002,889,1397,14,956,799,1469,1331
UPMC_c005_v001_r001_reg003,884,1771,4,963,817,1857,1697
UPMC_c003_v001_r001_reg034,2395,171,8,2515,2325,296,82
UPMC_c004_v001_r001_reg001,2574,988,1,2623,2510,1051,928
UPMC_c003_v001_r001_reg023,198,1430,5,303,37,1563,1335
UPMC_c003_v001_r001_reg028,763,210,8,841,687,291,122
UPMC_c006_v001_r001_reg050,2337,2483,14,2504,2246,2565,2376
UPMC_c007_v001_r001_reg011,2436,718,9,2493,2374,771,644
UPMC_c005_v001_r001_reg024,1675,1005,2,1859,1589,1110,819
UPMC_c001_v001_r001_reg007,480,1202,11,608,362,1339,1068
UPMC_c007_v001_r001_reg017,1105,684,3,1205,1027,790,601
UPMC_c006_v001_r001_reg029,2110,2639,7,2185,2027,2728,2572
UPMC_c004_v001_r001_reg016,1618,1659,7,1686,1563,1716,1592
UPMC_c007_v001_r001_reg037,528,1273,8,646,435,1368,1133
UPMC_c001_v001_r001_reg035,809,964,14,899,722,1041,852
UPMC_c007_v001_r001_reg008,1505,1040,2,1595,1406,1120,947
UPMC_c001_v001_r001_reg040,1010,955,5,1119,888,1037,845
UPMC_c005_v001_r001_reg053,2587,470,10,2662,2530,536,378
UPMC_c007_v001_r001_reg015,1829,450,2,1938,1722,531,324
UPMC_c003_v001_r001_reg034,597,1385,0,718,480,1530,1203
UPMC_c002_v001_r001_reg019,318,1519,8,389,207,1598,1422
UPMC_c006_v001_r001_reg032,1679,1880,13,1763,1617,1943,1827
UPMC_c006_v001_r001_reg015,1603,1584,2,1793,1439,1760,1406
UPMC_c006_v001_r001_reg020,2382,2195,3,2449,2306,2259,2135
UPMC_c001_v001_r001_reg011,73,1189,12,219,3,1328,1020
UPMC_c007_v001_r001_reg014,1188,1484,9,1261,1121,1560,1384
UPMC_c005_v001_r001_reg035,1560,1128,0,1719,1455,1195,1050
UPMC_c005_v001_r001_reg020,2261,172,4,2328,2119,303,73
UPMC_c006_v001_r001_reg026,1556,387,13,1627,1475,474,302
UPMC_c005_v001_r001_reg007,558,597,1,615,493,667,517
UPMC_c006_v001_r001_reg032,2629,2371,9,2678,2560,2452,2319
UPMC_c004_v001_r001_reg057,1206,1029,9,1284,1147,1104,930
UPMC_c006_v001_r001_reg048,1376,2674,1,1436,1317,2749,2598
UPMC_c004_v001_r001_reg047,913,654,3,991,855,721,590
UPMC_c007_v001_r001_reg037,1430,945,3,1495,1349,1035,884
UPMC_c004_v001_r001_reg038,973,1958,7,1085,899,2011,1865
UPMC_c001_v001_r001_reg002,1669,652,12,1761,1539,802,512
UPMC_c004_v001_r001_reg038,2509,366,12,2571,2421,451,267
UPMC_c003_v001_r001_reg010,739,825,0,836,648,900,757
UPMC_c005_v001_r001_reg037,1415,687,14,1484,1324,760,616
UPMC_c001_v001_r001_reg008,618,1580,2,707,547,1661,1504
UPMC_c007_v001_r001_reg029,874,72,7,955,779,165,8
UPMC_c006_v001_r001_reg049,92,2328,14,167,5,2410,2225
UPMC_c004_v001_r001_reg024,1358,1392,13,1435,1301,1468,1325
UPMC_c006_v001_r001_reg026,1039,1989,13,1102,976,2038,1927
UPMC_c006_v001_r001_reg040,2077,1942,8,2170,1980,2026,1861
UPMC_c006_v001_r001_reg065,198,1296,3,258,143,1359,1209
UPMC_c004_v001_r001_reg001,1876,243,1,1949,1769,315,160
UPMC_c006_v001_r001_reg060,2596,1492,9,2664,2534,1557,1416
UPMC_c001_v001_r001_reg029,1350,489,10,1464,1258,596,377
