region_id,centerX,centerY,cluster,maxX,minX,maxY,minY
UPMC_c004_v001_r001_reg058,1043,775,0,1116,973,853,685
UPMC_c002_v001_r001_reg026,367,371,1,451,298,441,306
UPMC_c002_v001_r001_reg026,2475,1050,10,2542,2396,1124,978
UPMC_c005_v001_r001_reg026,1159,647,4,1282,1049,837,487
UPMC_c004_v001_r001_reg025,451,893,6,546,370,958,836
UPMC_c005_v001_r001_reg008,1499,344,7,1594,1420,469,236
UPMC_c006_v001_r001_reg042,1281,398,4,1475,1118,563,228
UPMC_c006_v001_r001_reg063,184,1514,9,289,93,1602,1438
UPMC_c006_v001_r001_reg065,443,711,3,491,389,764,647
UPMC_c007_v001_r001_reg047,1785,1778,3,1868,1705,1853,1714
UPMC_c006_v001_r001_reg048,194,1816,3,258,136,1875,1764
UPMC_c004_v001_r001_reg016,822,968,0,881,763,1033,912
UPMC_c007_v001_r001_reg026,2352,261,2,2550,2267,433,162
UPMC_c002_v001_r001_reg021,1976,164,7,2071,1842,238,76
UPMC_c004_v001_r001_reg002,347,437,1,498,231,569,299
UPMC_c006_v001_r001_reg064,2129,1282,8,2187,2071,1344,1235
UPMC_c004_v001_r001_reg058,2546,850,9,2619,2479,923,769
UPMC_c002_v001_r001_reg009,1972,1529,10,2132,1874,1635,1362
UPMC_c003_v001_r001_reg024,1548,951,7,1726,1464,1044,859
UPMC_c006_v001_r001_reg048,2679,1889,1,2683,2626,2072,1701
UPMC_c006_v001_r001_reg046,780,2549,9,834,731,2592,2485
UPMC_c007_v001_r001_reg040,2105,151,5,2223,1949,302,32
UPMC_c004_v001_r001_reg011,2369,1056,11,2496,2285,1180,970
UPMC_c003_v001_r001_reg020,2145,1406,7,2266,2044,1545,1319
UPMC_c003_v001_r001_reg023,873,202,12,957,711,361,71
UPMC_c001_v001_r001_reg005,1002,1658,1,1104,840,1754,1505
UPMC_c005_v001_r001_reg008,314,765,7,446,218,886,653
UPMC_c005_v001_r001_reg014,431,716,2,609,277,912,550
UPMC_c003_v001_r001_reg004,996,926,4,1057,907,1030,858
UPMC_c007_v001_r001_reg017,1105,684,9,1205,1027,790,601
UPMC_c006_v001_r001_reg014,1762,2762,4,1914,1651,2891,2588
UPMC_c004_v001_r001_reg037,2334,1706,2,2432,2165,1855,1550
UPMC_c007_v001_r001_reg031,2628,1431,3,2681,2565,1507,1347
UPMC_c002_v001_r001_reg009,1574,1020,1,1758,1418,1167,845
UPMC_c006_v001_r001_reg030,183,1736,1,281,93,1803,1624
UPMC_c001_v001_r001_reg040,1010,955,2,1119,888,1037,845
