region_id,centerX,centerY,cluster,maxX,minX,maxY,minY
UPMC_c001_v001_r001_reg035,182,840,6,328,63,954,722
UPMC_c004_v001_r001_reg034,1914,563,4,1996,1837,639,476
UPMC_c004_v001_r001_reg034,475,1092,13,548,395,1202,1006
UPMC_c007_v001_r001_reg021,1917,917,7,2017,1834,1024,827
UPMC_c006_v001_r001_reg019,779,1313,8,845,726,1366,1260
UPMC_c007_v001_r001_reg011,231,293,11,312,147,371,238
UPMC_c007_v001_r001_reg038,2358,125,7,2500,2171,271,21
UPMC_c005_v001_r001_reg026,2165,894,7,2344,2031,1054,759
UPMC_c002_v001_r001_reg025,855,518,4,962,769,596,438
UPMC_c004_v001_r001_reg032,152,1729,11,226,69,1800,1651
UPMC_c001_v001_r001_reg022,385,1290,14,552,282,1398,1153
UPMC_c007_v001_r001_reg040,1134,772,10,1248,1026,873,672
UPMC_c006_v001_r001_reg012,1558,624,13,1682,1387,814,456
UPMC_c005_v001_r001_reg012,1032,196,1,1138,840,282,81
UPMC_c001_v001_r001_reg006,1457,483,13,1641,1353,593,314
UPMC_c006_v001_r001_reg036,2219,1217,9,2280,2152,1276,1141
UPMC_c001_v001_r001_reg035,1555,917,7,1667,1432,1043,789
UPMC_c007_v001_r001_reg027,1157,1487,2,1257,1073,1589,1411
UPMC_c005_v001_r001_reg013,2053,433,1,2131,1902,524,352
UPMC_c001_v001_r001_reg022,1265,1360,7,1361,1188,1472,1294
UPMC_c003_v001_r001_reg002,2345,1798,7,2480,2201,1898,1703
UPMC_c006_v001_r001_reg063,1990,248,6,2097,1885,318,164
UPMC_c004_v001_r001_reg001,2574,988,0,2623,2510,1051,928
UPMC_c003_v001_r001_reg020,2145,1406,4,2266,2044,1545,1319
UPMC_c003_v001_r001_reg028,763,210,10,841,687,291,122
UPMC_c001_v001_r001_reg030,2326,1823,6,2405,2235,1926,1731
UPMC_c007_v001_r001_reg011,2436,718,0,2493,2374,771,644
UPMC_c006_v001_r001_reg029,1834,1472,13,1953,1720,1575,1388
UPMC_c006_v001_r001_reg040,666,1359,5,740,609,1443,1303
UPMC_c001_v001_r001_reg031,1455,703,1,1564,1333,803,614
UPMC_c006_v001_r001_reg035,331,2790,11,425,234,2871,2693
UPMC_c002_v001_r001_reg007,426,1697,14,573,350,1806,1575
UPMC_c003_v001_r001_reg005,2181,1233,1,2253,2057,1317,1132
UPMC_c007_v001_r001_reg027,2064,1142,2,2183,1960,1246,1051
UPMC_c002_v001_r001_reg012,754,1224,6,865,646,1328,1118
UPMC_c007_v001_r001_reg007,1079,811,2,1154,1007,881,732
UPMC_c007_v001_r001_reg059,633,466,3,707,448,569,329
UPMC_c004_v001_r001_reg035,2174,576,2,2233,2123,642,529
UPMC_c006_v001_r001_reg063,1379,1745,4,1512,1281,1844,1623
UPMC_c007_v001_r001_reg014,728,1694,2,798,650,1761,1613
UPMC_c005_v001_r001_reg064,2219,1152,1,2312,2083,1264,1039
UPMC_c001_v001_r001_reg028,456,1161,7,555,276,1279,985
UPMC_c004_v001_r001_reg061,2273,1229,4,2393,2180,1360,1142
UPMC_c004_v001_r001_reg037,2045,804,14,2171,1961,906,678
UPMC_c007_v001_r001_reg001,1965,1449,5,2034,1892,1498,1389
UPMC_c002_v001_r001_reg030,1963,1947,6,2067,1860,2008,1871
UPMC_c005_v001_r001_reg020,2261,172,13,2328,2119,303,73
UPMC_c007_v001_r001_reg035,620,137,5,689,533,213,79
UPMC_c004_v001_r001_reg052,2250,1201,7,2361,2119,1292,1078
UPMC_c005_v001_r001_reg064,2036,1484,11,2156,1945,1593,1384
UPMC_c006_v001_r001_reg031,1659,1483,11,1718,1583,1545,1431
UPMC_c002_v001_r001_reg015,328,1926,6,445,220,2011,1820
UPMC_c004_v001_r001_reg016,1415,612,12,1465,1355,657,546
UPMC_c003_v001_r001_reg005,1272,848,4,1342,1187,954,770
UPMC_c006_v001_r001_reg050,1853,2892,6,1975,1726,2986,2769
UPMC_c001_v001_r001_reg005,639,614,8,727,544,729,512
UPMC_c006_v001_r001_reg050,2201,660,10,2279,2133,743,583
UPMC_c005_v001_r001_reg003,888,499,11,947,818,566,420
UPMC_c007_v001_r001_reg042,458,745,8,535,384,819,669
UPMC_c003_v001_r001_reg007,1414,1340,10,1501,1354,1410,1233
UPMC_c002_v001_r001_reg008,2011,181,13,2115,1828,293,54
